time	track	channel	bar	pitch	volume	instrument
768	4	6	-343597378	41	0	-343597378
768	4	6	-343597378	37	72	-343597378
776	1	2	1889785616	56	72	1889785616
776	1	2	1889785616	60	0	1889785616
776	2	9	1889785616	42	0	1889785616
776	2	9	1889785616	42	80	1889785616
776	2	9	1889785616	35	0	1889785616
780	2	9	858993465	42	80	858993465
780	2	9	858993465	42	0	858993465
784	1	2	-171798686	56	0	-171798686
784	1	2	-171798686	63	80	-171798686
784	2	9	-171798686	38	80	-171798686
784	2	9	-171798686	42	80	-171798686
784	2	9	-171798686	42	0	-171798686
784	4	6	-171798686	37	72	-171798686
784	4	6	-171798686	37	0	-171798686
792	1	2	2061584308	56	80	2061584308
792	1	2	2061584308	63	0	2061584308
792	2	9	2061584308	38	0	2061584308
792	2	9	2061584308	42	0	2061584308
792	2	9	2061584308	42	80	2061584308
796	2	9	1030792157	42	0	1030792157
796	2	9	1030792157	42	80	1030792157
796	2	9	1030792157	35	80	1030792157
800	1	2	3	56	0	3
800	1	2	3	58	80	3
800	2	9	3	35	0	3
800	2	9	3	42	0	3
800	2	9	3	42	80	3
800	3	4	3	61	72	3
800	3	4	3	60	0	3
800	4	6	3	37	0	3
800	4	6	3	39	72	3
804	2	9	-515396073	35	80	-515396073
804	2	9	-515396073	42	0	-515396073
804	3	4	-515396073	61	0	-515396073
804	3	4	-515396073	60	72	-515396073
808	1	2	-1030792149	51	80	-1030792149
808	1	2	-1030792149	58	0	-1030792149
808	2	9	-1030792149	35	80	-1030792149
808	2	9	-1030792149	35	0	-1030792149
808	3	4	-1030792149	60	0	-1030792149
816	1	2	-2061584300	51	0	-2061584300
816	1	2	-2061584300	63	80	-2061584300
816	2	9	-2061584300	35	0	-2061584300
816	2	9	-2061584300	38	80	-2061584300
816	2	9	-2061584300	42	80	-2061584300
816	3	4	-2061584300	58	72	-2061584300
816	4	6	-2061584300	39	72	-2061584300
816	4	6	-2061584300	39	0	-2061584300
824	1	2	1202590845	63	0	1202590845
824	1	2	1202590845	61	80	1202590845
824	2	9	1202590845	42	80	1202590845
824	2	9	1202590845	38	0	1202590845
824	2	9	1202590845	42	0	1202590845
824	3	4	1202590845	60	72	1202590845
824	3	4	1202590845	58	0	1202590845
828	3	4	687194769	60	72	687194769
828	3	4	687194769	60	0	687194769
832	1	2	171798693	61	0	171798693
832	1	2	171798693	60	80	171798693
832	2	9	171798693	35	80	171798693
832	2	9	171798693	42	0	171798693
832	3	4	171798693	56	72	171798693
832	3	4	171798693	60	0	171798693
832	4	6	171798693	39	0	171798693
832	4	6	171798693	36	72	171798693
840	1	2	-858993458	60	0	-858993458
840	1	2	-858993458	56	80	-858993458
840	2	9	-858993458	35	0	-858993458
840	2	9	-858993458	42	80	-858993458
844	2	9	-1374389534	42	0	-1374389534
844	2	9	-1374389534	42	80	-1374389534
848	1	2	-1889785610	60	80	-1889785610
848	1	2	-1889785610	56	0	-1889785610
848	2	9	-1889785610	42	0	-1889785610
848	2	9	-1889785610	38	80	-1889785610
848	4	6	-1889785610	36	72	-1889785610
848	4	6	-1889785610	36	0	-1889785610
856	1	2	1374389535	60	0	1374389535
856	1	2	1374389535	56	80	1374389535
856	2	9	1374389535	42	80	1374389535
856	2	9	1374389535	38	0	1374389535
860	2	9	858993459	35	80	858993459
860	2	9	858993459	42	0	858993459
864	1	2	343597383	60	80	343597383
864	1	2	343597383	56	0	343597383
864	2	9	343597383	35	0	343597383
864	2	9	343597383	42	80	343597383
864	3	4	343597383	56	0	343597383
864	4	6	343597383	41	72	343597383
864	4	6	343597383	36	0	343597383
868	2	9	-171798693	42	0	-171798693
868	2	9	-171798693	35	80	-171798693
872	1	2	-687194769	60	0	-687194769
872	1	2	-687194769	56	80	-687194769
872	2	9	-687194769	35	0	-687194769
872	2	9	-687194769	35	80	-687194769
872	3	4	-687194769	51	72	-687194769
880	1	2	-1717986920	58	80	-1717986920
880	1	2	-1717986920	56	0	-1717986920
880	2	9	-1717986920	35	0	-1717986920
880	2	9	-1717986920	38	80	-1717986920
880	3	4	-1717986920	56	72	-1717986920
880	3	4	-1717986920	51	0	-1717986920
880	4	6	-1717986920	41	72	-1717986920
880	4	6	-1717986920	41	0	-1717986920
884	3	4	2061584300	56	0	2061584300
884	3	4	2061584300	58	72	2061584300
888	1	2	1546188224	58	0	1546188224
888	1	2	1546188224	55	80	1546188224
888	2	9	1546188224	38	0	1546188224
888	2	9	1546188224	42	80	1546188224
888	3	4	1546188224	58	0	1546188224
896	1	2	515396073	60	72	515396073
896	1	2	515396073	55	0	515396073
896	2	9	515396073	42	0	515396073
896	2	9	515396073	35	80	515396073
896	3	4	515396073	60	72	515396073
896	4	6	515396073	37	72	515396073
896	4	6	515396073	41	0	515396073
904	1	2	-515396078	56	72	-515396078
904	1	2	-515396078	60	0	-515396078
904	2	9	-515396078	35	0	-515396078
904	2	9	-515396078	42	80	-515396078
908	2	9	-1030792154	42	0	-1030792154
908	2	9	-1030792154	42	80	-1030792154
912	1	2	-1546188230	56	0	-1546188230
912	1	2	-1546188230	63	80	-1546188230
912	2	9	-1546188230	38	80	-1546188230
912	2	9	-1546188230	42	0	-1546188230
912	3	4	-1546188230	60	0	-1546188230
912	3	4	-1546188230	60	72	-1546188230
912	4	6	-1546188230	37	72	-1546188230
912	4	6	-1546188230	37	0	-1546188230
920	1	2	1717986915	56	80	1717986915
920	1	2	1717986915	63	0	1717986915
920	2	9	1717986915	42	80	1717986915
920	2	9	1717986915	38	0	1717986915
920	3	4	1717986915	60	0	1717986915
920	3	4	1717986915	60	72	1717986915
924	2	9	1202590839	42	0	1202590839
924	2	9	1202590839	35	80	1202590839
928	1	2	687194763	58	80	687194763
928	1	2	687194763	56	0	687194763
928	2	9	687194763	42	80	687194763
928	2	9	687194763	35	0	687194763
928	3	4	687194763	61	72	687194763
928	3	4	687194763	60	0	687194763
928	4	6	687194763	37	72	687194763
928	4	6	687194763	37	0	687194763
932	2	9	171798687	35	80	171798687
932	2	9	171798687	42	0	171798687
