time:36737	pitch:51	volume:0	bar:31	beat:94
time:36931	pitch:70	volume:120	bar:31	beat:94
time:36931	pitch:72	volume:0	bar:31	beat:94
time:36931	pitch:44	volume:0	bar:31	beat:94
time:36931	pitch:46	volume:120	bar:31	beat:94
time:36931	pitch:46	volume:125	bar:31	beat:94
time:36931	pitch:44	volume:0	bar:31	beat:94
time:36931	pitch:72	volume:0	bar:31	beat:94
time:36931	pitch:74	volume:96	bar:31	beat:94
time:37317	pitch:72	volume:96	bar:31	beat:95
time:37317	pitch:74	volume:0	bar:31	beat:95
time:37317	pitch:46	volume:0	bar:31	beat:95
time:37317	pitch:48	volume:125	bar:31	beat:95
time:37317	pitch:48	volume:120	bar:31	beat:95
time:37317	pitch:46	volume:0	bar:31	beat:95
time:37317	pitch:70	volume:0	bar:31	beat:95
time:37317	pitch:72	volume:120	bar:31	beat:95
time:37317	pitch:60	volume:0	bar:31	beat:95
time:37515	pitch:55	volume:120	bar:32	beat:96
time:37709	pitch:60	volume:120	bar:32	beat:96
time:38098	pitch:72	volume:0	bar:32	beat:97
time:38098	pitch:48	volume:0	bar:32	beat:97
time:38098	pitch:48	volume:0	bar:32	beat:97
time:38098	pitch:67	volume:127	bar:32	beat:97
time:38098	pitch:79	volume:120	bar:32	beat:97
time:38098	pitch:36	volume:120	bar:32	beat:97
time:38098	pitch:72	volume:0	bar:32	beat:97
time:38292	pitch:55	volume:0	bar:32	beat:98
time:38477	pitch:79	volume:0	bar:32	beat:98
time:38480	pitch:60	volume:0	bar:32	beat:98
time:38480	pitch:67	volume:0	bar:32	beat:98
time:38483	pitch:36	volume:0	bar:32	beat:98
time:38486	pitch:48	volume:127	bar:32	beat:98
time:38486	pitch:75	volume:127	bar:32	beat:98
time:38486	pitch:87	volume:120	bar:32	beat:98
time:38486	pitch:36	volume:120	bar:32	beat:98
time:38486	pitch:69	volume:0	bar:32	beat:98
time:38486	pitch:69	volume:120	bar:32	beat:98
time:38680	pitch:55	volume:127	bar:33	beat:99
time:38680	pitch:69	volume:0	bar:33	beat:99
time:38874	pitch:69	volume:120	bar:33	beat:99
time:38874	pitch:87	volume:0	bar:33	beat:99
time:38874	pitch:75	volume:0	bar:33	beat:99
time:38874	pitch:87	volume:120	bar:33	beat:99
time:38874	pitch:55	volume:0	bar:33	beat:99
time:38874	pitch:75	volume:127	bar:33	beat:99
time:38874	pitch:60	volume:127	bar:33	beat:99
time:38971	pitch:69	volume:0	bar:33	beat:100
time:39065	pitch:75	volume:0	bar:33	beat:100
time:39065	pitch:77	volume:127	bar:33	beat:100
time:39065	pitch:87	volume:0	bar:33	beat:100
time:39065	pitch:89	volume:120	bar:33	beat:100
time:39065	pitch:69	volume:120	bar:33	beat:100
time:39165	pitch:69	volume:0	bar:33	beat:100
time:39262	pitch:77	volume:0	bar:33	beat:100
time:39262	pitch:69	volume:120	bar:33	beat:100
time:39262	pitch:36	volume:0	bar:33	beat:100
time:39262	pitch:36	volume:120	bar:33	beat:100
time:39262	pitch:89	volume:0	bar:33	beat:100
time:39262	pitch:91	volume:120	bar:33	beat:100
time:39262	pitch:55	volume:127	bar:33	beat:100
time:39262	pitch:60	volume:0	bar:33	beat:100
time:39262	pitch:48	volume:0	bar:33	beat:100
time:39262	pitch:79	volume:127	bar:33	beat:100
time:39359	pitch:69	volume:0	bar:33	beat:101
time:39651	pitch:69	volume:120	bar:33	beat:101
time:39651	pitch:36	volume:0	bar:33	beat:101
time:39651	pitch:34	volume:120	bar:33	beat:101
time:39651	pitch:86	volume:120	bar:33	beat:101
time:39651	pitch:91	volume:0	bar:33	beat:101
time:39651	pitch:79	volume:0	bar:33	beat:101
time:39651	pitch:46	volume:127	bar:33	beat:101
time:39651	pitch:74	volume:127	bar:33	beat:101
time:39651	pitch:55	volume:0	bar:33	beat:101
time:39845	pitch:53	volume:127	bar:34	beat:102
time:39845	pitch:69	volume:0	bar:34	beat:102
time:40039	pitch:53	volume:0	bar:34	beat:102
time:40039	pitch:82	volume:127	bar:34	beat:102
time:40039	pitch:74	volume:0	bar:34	beat:102
time:40039	pitch:62	volume:127	bar:34	beat:102
time:40039	pitch:94	volume:120	bar:34	beat:102
time:40039	pitch:86	volume:0	bar:34	beat:102
time:40039	pitch:69	volume:120	bar:34	beat:102
time:40233	pitch:69	volume:0	bar:34	beat:103
time:40427	pitch:62	volume:0	bar:34	beat:103
time:40427	pitch:69	volume:120	bar:34	beat:103
time:40427	pitch:34	volume:0	bar:34	beat:103
time:40427	pitch:34	volume:120	bar:34	beat:103
time:40427	pitch:46	volume:0	bar:34	beat:103
time:40427	pitch:53	volume:127	bar:34	beat:103
time:40524	pitch:69	volume:0	bar:34	beat:104
time:40621	pitch:69	volume:120	bar:34	beat:104
time:40718	pitch:69	volume:0	bar:34	beat:104
time:40815	pitch:69	volume:120	bar:34	beat:104
time:40815	pitch:32	volume:120	bar:34	beat:104
time:40815	pitch:34	volume:0	bar:34	beat:104
time:40815	pitch:94	volume:0	bar:34	beat:104
time:40815	pitch:44	volume:127	bar:34	beat:104
time:40815	pitch:72	volume:127	bar:34	beat:104
time:40815	pitch:82	volume:0	bar:34	beat:104
time:40815	pitch:53	volume:0	bar:34	beat:104
time:40815	pitch:84	volume:120	bar:34	beat:104
time:41009	pitch:51	volume:127	bar:35	beat:105
time:41009	pitch:69	volume:0	bar:35	beat:105
time:41200	pitch:60	volume:127	bar:35	beat:105
time:41200	pitch:69	volume:120	bar:35	beat:105
time:41200	pitch:84	volume:120	bar:35	beat:105
time:41200	pitch:84	volume:0	bar:35	beat:105
time:41200	pitch:72	volume:127	bar:35	beat:105
time:41200	pitch:72	volume:0	bar:35	beat:105
time:41200	pitch:51	volume:0	bar:35	beat:105
time:41300	pitch:69	volume:0	bar:35	beat:106
time:41397	pitch:72	volume:0	bar:35	beat:106
time:41397	pitch:69	volume:120	bar:35	beat:106
time:41397	pitch:84	volume:0	bar:35	beat:106
time:41397	pitch:86	volume:120	bar:35	beat:106
time:41397	pitch:74	volume:127	bar:35	beat:106
time:41494	pitch:69	volume:0	bar:35	beat:106
time:41591	pitch:51	volume:127	bar:35	beat:106
time:41591	pitch:75	volume:127	bar:35	beat:106
