time	track	channel	bar	pitch	volume	bar	instrument
1536	0	4	23	67	71	23	0
1536	0	4	23	64	71	23	0
1536	0	4	23	60	71	23	0
1536	0	9	23	41	95	23	0
1536	0	9	23	40	95	23	0
1536	0	9	23	36	95	23	0
1536	0	1	23	55	95	23	0
1536	0	1	23	52	95	23	0
1536	0	1	23	64	95	23	0
1540	0	9	24	55	95	24	0
1540	0	9	24	57	95	24	0
1540	0	9	24	40	95	24	0
1540	0	9	24	69	95	24	0
1544	0	9	24	55	95	24	0
1544	0	9	24	40	95	24	0
1544	0	9	24	69	95	24	0
1544	0	9	24	55	95	24	0
1546	0	9	24	55	95	24	0
1548	0	9	24	55	95	24	0
1550	0	9	24	55	95	24	0
1552	0	9	24	55	95	24	0
1552	0	4	24	62	71	24	0
1552	0	4	24	65	71	24	0
1552	0	9	24	50	95	24	0
1552	0	4	24	69	71	24	0
1552	0	4	24	53	71	24	0
1552	0	9	24	57	95	24	0
1552	0	1	24	53	95	24	0
1552	0	1	24	65	95	24	0
1554	0	9	24	50	95	24	0
1556	0	9	24	48	95	24	0
1558	0	9	24	48	95	24	0
1560	0	11	24	38	54	24	0
1560	0	11	24	50	54	24	0
1560	0	4	24	69	71	24	0
1560	0	9	24	47	95	24	0
1562	0	9	24	47	95	24	0
1568	0	4	24	69	71	24	0
1568	0	1	24	69	95	24	0
1568	0	1	24	57	95	24	0
1568	0	2	24	65	111	24	0
1568	0	11	24	53	54	24	0
1568	0	11	24	41	54	24	0
1568	0	4	24	57	71	24	0
1568	0	4	24	72	71	24	0
1568	0	4	24	60	71	24	0
1568	0	9	24	43	95	24	0
1568	0	6	24	65	64	24	0
1568	0	6	24	53	64	24	0
1568	0	4	24	65	71	24	0
1570	0	9	24	43	95	24	0
1576	0	9	24	69	95	24	0
1576	0	9	24	40	95	24	0
1576	0	4	24	67	71	24	0
1576	0	4	24	62	71	24	0
1576	0	2	24	67	111	24	0
1576	0	4	24	58	71	24	0
1576	0	4	24	70	71	24	0
1576	0	1	24	55	95	24	0
1576	0	1	24	67	95	24	0
1576	0	4	24	55	71	24	0
1584	0	1	24	53	95	24	0
1584	0	2	24	65	111	24	0
1584	0	4	24	65	71	24	0
1584	0	4	24	60	71	24	0
1584	0	4	24	57	71	24	0
1584	0	4	24	69	71	24	0
1584	0	4	24	53	71	24	0
1584	0	1	24	65	95	24	0
1592	0	11	24	56	54	24	0
1592	0	9	24	41	95	24	0
1592	0	1	24	48	95	24	0
1592	0	2	24	68	111	24	0
1592	0	9	24	35	95	24	0
1592	0	6	24	56	64	24	0
1592	0	4	24	60	71	24	0
1592	0	9	24	55	95	24	0
1592	0	9	24	36	95	24	0
1592	0	9	24	57	95	24	0
1592	0	4	24	48	71	24	0
1592	0	1	24	72	95	24	0
1592	0	11	24	44	54	24	0
1599	0	1	24	72	95	24	0
1599	0	1	24	55	95	24	0
1599	0	2	24	67	111	24	0
1599	0	4	24	67	71	24	0
1599	0	4	24	64	71	24	0
1599	0	4	24	60	71	24	0
1599	0	4	24	55	71	24	0
1607	0	4	25	67	71	25	0
1607	0	4	25	60	71	25	0
1607	0	4	25	64	71	25	0
1607	0	9	25	40	95	25	0
1607	0	9	25	55	95	25	0
1607	0	9	25	69	95	25	0
1607	0	2	25	65	111	25	0
1607	0	1	25	60	95	25	0
1607	0	1	25	72	95	25	0
1607	0	4	25	72	71	25	0
1615	0	4	25	55	71	25	0
1615	0	4	25	60	71	25	0
1615	0	1	25	72	95	25	0
1615	0	1	25	55	95	25	0
1615	0	2	25	67	111	25	0
1615	0	4	25	67	71	25	0
1615	0	4	25	64	71	25	0
1623	0	1	25	64	95	25	0
1623	0	4	25	64	71	25	0
1623	0	11	25	53	54	25	0
1623	0	11	25	41	54	25	0
1623	0	4	25	76	71	25	0
1623	0	4	25	72	71	25	0
1623	0	4	25	67	71	25	0
1623	0	9	25	55	95	25	0
1623	0	9	25	41	95	25	0
1623	0	9	25	36	95	25	0
1623	0	9	25	35	95	25	0
1631	0	1	25	55	95	25	0
1631	0	2	25	65	111	25	0
1631	0	9	25	41	95	25	0
1631	0	6	25	53	64	25	0
1631	0	6	25	65	64	25	0
1631	0	4	25	60	71	25	0
1631	0	4	25	64	71	25	0
1631	0	4	25	67	71	25	0
1631	0	4	25	55	71	25	0
1631	0	11	25	41	54	25	0
1631	0	11	25	53	54	25	0
1639	0	9	25	69	95	25	0
1639	0	1	25	72	95	25	0
1639	0	1	25	60	95	25	0
1639	0	2	25	67	111	25	0
1639	0	9	25	55	95	25	0
1639	0	9	25	40	95	25	0
1639	0	4	25	64	71	25	0
1639	0	4	25	67	71	25	0
1639	0	4	25	72	71	25	0
1639	0	4	25	60	71	25	0
1647	0	4	25	67	71	25	0
1647	0	4	25	55	71	25	0
1647	0	1	25	55	95	25	0
1647	0	2	25	65	111	25	0
1647	0	4	25	64	71	25	0
1647	0	4	25	60	71	25	0
1655	0	11	25	56	54	25	0
1655	0	4	25	46	71	25	0
1655	0	4	25	58	71	25	0
1655	0	11	25	44	54	25	0
1655	0	1	25	72	95	25	0
1655	0	9	25	57	95	25	0
1655	0	6	25	56	64	25	0
1655	0	9	25	36	95	25	0
1655	0	9	25	55	95	25	0
1655	0	9	25	35	95	25	0
1655	0	2	25	68	111	25	0
1655	0	1	25	46	95	25	0
1655	0	9	25	41	95	25	0
1663	0	1	25	72	95	25	0
1663	0	1	25	53	95	25	0
1663	0	2	25	67	111	25	0
