time	track	channel	pitch	volume	instrument
732	7	1	67	80	39
735	4	6	65	0	48
735	2	4	74	0	4
735	1	1	67	0	39
735	7	1	67	0	39
736	1	1	67	80	39
736	2	4	77	56	4
736	4	6	74	53	48
736	5	7	46	72	35
736	6	9	42	0	0
736	6	9	42	72	0
736	7	1	67	80	39
743	4	6	69	0	48
743	2	4	77	0	4
744	2	4	74	39	4
744	6	9	35	72	0
744	6	9	42	0	0
744	6	9	42	72	0
748	3	5	65	53	25
751	4	6	74	0	48
751	2	4	74	0	4
752	2	4	77	56	4
752	3	5	69	62	25
752	3	5	74	68	25
752	6	9	42	72	0
752	6	9	38	72	0
752	6	9	35	0	0
752	6	9	42	0	0
759	3	5	65	0	25
759	2	4	77	0	4
759	3	5	74	0	25
759	3	5	69	0	25
760	2	4	74	45	4
760	6	9	42	72	0
760	6	9	42	0	0
760	6	9	38	0	0
765	2	4	65	0	4
766	2	4	69	0	4
766	5	7	46	0	35
767	2	4	74	0	4
768	1	1	67	0	39
768	7	1	67	0	39
768	1	1	67	80	39
768	2	4	55	56	4
768	5	7	43	68	35
768	6	9	35	72	0
768	6	9	42	0	0
768	6	9	42	72	0
768	7	1	67	80	39
776	2	4	62	53	4
776	4	6	58	51	48
776	6	9	42	0	0
776	6	9	42	72	0
780	1	1	67	0	39
780	7	1	67	0	39
780	1	1	65	80	39
780	7	1	65	80	39
784	1	1	65	0	39
784	1	1	67	80	39
784	7	1	65	0	39
784	7	1	67	80	39
784	2	4	65	53	4
784	4	6	62	51	48
784	6	9	42	72	0
784	6	9	38	72	0
784	6	9	42	0	0
784	6	9	35	0	0
790	2	4	55	0	4
791	4	6	58	0	48
792	2	4	70	56	4
792	4	6	65	56	48
792	6	9	38	0	0
792	6	9	42	72	0
792	6	9	42	0	0
794	5	7	43	0	35
796	1	1	67	0	39
796	7	1	67	0	39
796	1	1	65	80	39
796	7	1	65	80	39
799	4	6	62	0	48
799	2	4	70	0	4
800	1	1	65	0	39
800	7	1	65	0	39
800	1	1	67	80	39
800	2	4	67	56	4
